id,gsi,academic,personal
3927,0.943396226,0.4,1.625
3928,1.365384615,1.7,1.625
3930,1.245283019,2.6,2
3931,0.679245283,1,1.125
3932,0.245283019,0.4,0.75
3933,0.433962264,0.5,0.75
3936,0.58490566,1.2,1.5
3937,0.018867925,0.4,0.75
3938,0.433962264,1.2,1.5
4009,0.58490566,1.1,1.125
4011,3.132075472,2.9,2.75
4017,1.943396226,1,1.625
4022,0.226415094,1.5,1
4023,1.588235294,3.5,2.125
4025,0.320754717,1.8,1.375
4065,1.509433962,1.2,2
4067,0.346153846,0.9,1.5
4068,1.58490566,2.3,1.5
4070,0.113207547,0.3,0.25
4232,0.547169811,1.6,1
4233,0.547169811,1.7,0.25
4234,1.264150943,3,1
4235,1.924528302,1.7,2.375
4239,0.377358491,0.7,0.75
4240,0.603773585,1.8,1.875
4245,0.641509434,1.1,0.625
4246,0.730769231,1.2,0.5
4247,0.490566038,1.4,0.375
4248,2.547169811,2.3,2.375
4250,1.528301887,3.2,1.375
4251,0.384615385,1.3,0.125
4252,0.471698113,1.8,1.625
4254,1.264150943,1.4,2.375
4255,0.211538462,1.4,0.125
4256,0.660377358,0.6,1.75
4258,0.320754717,0.9,0.375
4259,0.20754717,2,0.75
4261,1.79245283,2.8,3.125
4262,1.538461538,3.1,2.625
4264,0.377358491,2.1,0.75
4265,0.433962264,2,0.125
4266,2.433962264,2.6,2.625
4268,0.377358491,2.6,0.75
4269,0.358490566,1,0.25
4270,0.320754717,1.1,1.125
4271,0.981132075,1.4,0.75
4273,0.377358491,1.4,2
4274,0.803921569,2.2,1.25
4275,1.442307692,2.4,1
4276,0.660377358,2.1,0.875
4277,0.471698113,1.9,1.375
4278,0.339622642,1,0.375
4283,0.153846154,0.9,0.875
4285,0.176470588,1.6,1.625
4286,0.470588235,0.9,0.5
4287,0.679245283,1.9,0.875
4289,0.452830189,1.2,1.875
4290,0.811320755,1.2,1.25
4291,1.886792453,2.8,2
4292,2.769230769,3.2,1.875
4293,0.811320755,2.1,0.375
4294,0.115384615,0.7,0.75
4295,1.603773585,1,1.5
4296,0.641509434,2.3,0.625
4298,0.056603774,0.5,0.125
4299,0.339622642,1,1
4300,1.528301887,1.9,2
4301,0.641509434,2.2,1
4303,0.607843137,1,0.875
4304,0.452830189,1.4,0.625
4305,1.754716981,3.2,2.5
4306,0.666666667,1.7,1.125
4308,0.094339623,1.4,0.5
4310,0.509433962,1.7,0.5
4596,0.867924528,3.1,1.25
4597,0.79245283,1.2,1.25
4598,1.320754717,3.1,2.375
4600,1.28,2.5,1.375
4601,1.037735849,1.2,2.125
4602,2.094339623,3.7,3.375
4606,0.113207547,0.5,0.125
4608,1.396226415,1,1.625
4610,2.41509434,1.9,2.125
4614,1.018867925,1.5,2.25
4615,0.452830189,1.6,0.5
4616,0.339622642,0.5,1.625
4619,0.226415094,1.4,0.375
4620,0.358490566,1.4,1
4621,0.773584906,2.5,1
4622,0.846153846,1,1.125
4623,0.215686275,2,1.625
4624,2.264150943,1.4,1.625
4625,0.622641509,1.6,0.5
4626,1.019607843,0.6,2.25
4701,2.603773585,1.3,2.75
4702,0.867924528,2.6,1.375
4703,2.528301887,3.2,3
4704,0.301886792,0.1,0.875
4705,0.113207547,1.2,1
4706,1.634615385,2.4,2.125
4707,2.735849057,3.8,3
4708,0.490566038,1.1,1.875
4709,2.557692308,3,3.125
4710,0.150943396,0.9,0.625
4712,1.547169811,0.6,1.375
4713,1.433962264,3.8,2.125
4714,0.846153846,1.4,1.625
4715,0.528301887,0.8,1.75
4716,1.320754717,0.9,2.125
4717,0.660377358,0.2,1.625
4718,2.653846154,3.2,3.625
4719,1.509433962,1.8,2.875
4720,0.924528302,1,1.875
4721,1.811320755,3.4,1.5
4722,0.58490566,1.7,1.625
4723,0.169811321,1,1.625
4724,0.3,2.7,1.75
4727,0.754716981,1.3,1.25
4728,0.41509434,1.1,0.75
